id,title,year,ISBN,age_limit,price,count,description,author_id,img_path
1,Идиот,1869,978-5-389-04730-3,3,939,39,"Величайший роман Достоевского.
«Идиота» экранизировали 13 раз лучшие постановщики от Индии до Германии — Жорж Лампен и Анджей Жулавский, Акира Куросава и Анджей Вайда, отечественные Пырьев и Бортко.
Завораживающая история трагических страстей, связавших купца Парфена Рогожина, бывшую содержанку богатого дворянина Настасью Филипповну и «идеального человека» князя Мышкина — беспомощного идиота в мире корысти и зла, гласящая о том, что сострадание, возможно, единственный закон человеческого бытия. Она по-прежнему актуальна и воспринимается ярко и непосредственно, будто была написана вчера.",1,/bookshop/img/products/idiot.jpg
2,Мастер и Маргарита,1966,978-5-9603-0717-8,3,378,64,"Бессмертное, загадочное и остроумное «Евангелие от Сатаны» Михаила Булгакова.
Роман, уникальный в российской литературе ХХ столетия. Трудно себе представить, какое влияние он оказал на мировую культуру.
На основе «Мастера и Маргариты» снимались и продолжают сниматься фильмы и телесериалы, это произведение легло в основу оперы, симфонии, рок-оперы, его иллюстрировали самые знаменитые художники и фотографы.",2,/bookshop/img/products/master-i-margarita.jpg
3,Война и мир,1869,978-5-389-07469-9,3,173,84,"Роман Льва Николаевича Толстого «Война и мир» — книга на все времена. Кажется, что она существовала всегда, настолько знакомым кажется текст, едва мы открываем первые страницы романа, настолько памятны многие его эпизоды: охота и святки, первый бал Наташи Ростовой, лунная ночь в Отрадном, князь Андрей в сражении при Аустерлице... Сцены «мирной», семейной жизни сменяются картинами, имеющими значение для хода всей мировой истории, но для Толстого они равноценны, связаны в едином потоке времени. Каждый эпизод важен не только для развития сюжета, но и как одно из бесчисленных проявлений жизни, которая насыщена в каждом своем моменте и которую учит любить Толстой.",3,/bookshop/img/products/voina-i-mir.jpg
4,Анна Каренина,1877,978-5-9268-2544-9,3,769,73,"История всепоглощающей страсти, история замужней женщины, полюбившей красавца офицера и бросившей своего мужа наперекор всему: мнению света, общепринятой морали, своей совести.
""Анну Каренину"" экранизировали 30 раз, музыку к балету писали Чайковский и Родион Щедрин, главную героиню в кино играли Грета Гарбо и Вивьен Ли, Алла Тарасова и Татьяна Самойлова, Софи Марсо и Кира Найтли.",3,/bookshop/img/products/anna-karenina.jpg
5,Преступление и наказание,1866,978-5-389-07468-2,3,672,11,"""Преступление и наказание"" — одно из самых значительных произведений в истории мировой литературы. Это и глубокий филососфский роман, и тонкая психологическая драма, и захватывающий детектив, и величественная картина мрачного города, в недрах которого герои грешат и ищут прощения, жертвуют собой и отрекаются от себя ради ближних и находят успокоение в смирении, покаянии, вере. Главный герой романа Родион Раскольников решается на убийство, чтобы доказать себе и миру, что он не ""тварь дрожащая"", а ""право имеет"". Главным предметом исследования писателя становится процесс превращения добропорядочного, умного и доброго юноши в убийцу, а также то, как совершивший преступление Раскольников может искупить свою вину.",1,/bookshop/img/products/prestuplenie-i-nakazanie.jpg
6,Братья Карамазовы,1880,978-5-17-137756-4,3,431,57,"""Братья Карамазовы"" — последний роман Достоевского, вершина его творчества, в каком-то смысле главный труд всей его жизни и одно из величайших произведений в истории мировой литературы.
Загадка, связанная со смертью и кражей, полная накала и страстей любовная история, разворачивающаяся на глазах читателя семейная драма, сложные психологические перипетии, множество вплетенных в основную канву других остросюжетных линий — все это вместилось в роман ""Братья Карамазовы"", главной проблематикой которого является вопрос о Боге и бессмертии души. А в центре повествования, как всегда у Достоевского, — человек, терзаемый сомнениями, раздираемый страстями, жаждущий любви, власти, денег, мечущийся от добра ко злу и от зла к добру, ищущий свой путь, свою веру, своего Бога.",1,/bookshop/img/products/bratya-karamazovy.jpg
7,Бесы,1872,978-5-389-23611-0,3,113,67,"""Бесы"" — наверное, самый пророческий роман Достоевского. Изначально задуманный как острополитическая вещь, основанная на впечатлениях писателя от ""нечаевского процесса"": группу революционеров судили за убийство студента, решившего выйти из их кружка, — роман далеко перерос просто произведение на ""злобу дня"".
На глазах у читателей разворачивается настоящая драма: в центре повестования — группа нигилистов во главе с Петром Верховенским, планирующая поднять смуту по всей России. У главного же героя романа Николая Ставрогина — своя тайна, свой страшный грех и своя большая беда — он совершенно опустошен, и жизнь уже не представляет для него никакого интереса. События в романе проносятся вихрем перед читателем, запутываются в какой-то чудовищный клубок и в результате разрешаются трагедией.",1,/bookshop/img/products/besy.jpg
8,Тарас Бульба,1835,978-5-17-118366-0,3,209,56,"В сборник, озаглавленный Гоголем ""Миргород"", вошли четыре повести, основанные на украинском фольклоре. ""Старосветские помещики"" – печальная история любви двух супругов, любви, за границами которой герои уже не видят окружающего мира. ""Тарас Бульба"" – ни в чем не схожая с предыдущей повесть о жизни запорожских казаков, где царят боевой дух, жажда воинской славы и любовь, которая оказывается сильнее долга перед родиной и перед отцом. Третья повесть – ""Вий"" – леденящий душу рассказ о темных силах преисподней, в жуткой схватке с которыми, поддавшись страху, погибает семинарист. И, наконец, ""Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем"" – юмористическая зарисовка из жизни городка Миргорода, кажется, никогда не стареющая история о том, как вдруг на ровном месте ссорятся закадычные друзья. Яркий пример того, как пустяковая размолвка может обернуться не просто враждой и судебным разбирательством, но чуть ли не смыслом всей жизни.",4,/bookshop/img/products/taras-bulba.jpg
9,Евгений Онегин,1832,978-5-17-118367-7,2,544,68,"""Евгений Онегин"" – одно из самых значительных произведений русской литературы.
Пронзительная любовная история, драматические повороты сюжета, тонкий психологизм персонажей, детальное описание быта и нравов той эпохи (не случайно Белинский назвал роман ""энциклопедией русской жизни"") – в этом произведении, как в зеркале, отразилась вся русская жизнь. ""Евгений Онегин"" никогда не утратит своей актуальности, и даже спустя два века мы поражаемся точности и верности ""ума холодных наблюдений и сердца горестных замет"" великого русского поэта.",5,/bookshop/img/products/evgenii-onegin.jpg
10,Герой нашего времени,1840,978-5-389-01927-0,2,756,25,"«Герой нашего времени» по праву считается первым психологическим романом в русской литературе.
В основе повествования — история жизни главного героя, Григория Печорина. Произведение состоит из пяти частей, расположенных не в хронологическом порядке, однако в этом есть своя логика. Писатель постепенно начинает погружать читателя во внутренний мир его героя, циника, прожигателя жизни, ни во что не верящего, противоречивого и неоднозначного.",6,/bookshop/img/products/geroi-nashego-vremeni.jpg
